"1","5","0"
"1","6","0"
"9","6","0"
"9","8","0"
"14","4","0"
"14","15","0"
"22","6","0"
"22","21","0"
"66","7","0"
"85","4","0"
"86","4","0"
"115","4","0"
"115","29","0"
"134","4","0"
"134","31","0"
"137","5","0"
"137","138","0"
"139","5","0"
"139","140","0"
"141","5","0"
"141","142","0"
"144","4","0"
"150","4","0"
"150","42","0"
"152","4","0"
"152","43","0"
"154","4","0"
"154","44","0"
"158","4","0"
"160","5","0"
"160","161","0"
"162","5","0"
"162","163","0"
"164","5","0"
"164","165","0"
"166","4","0"
"166","50","0"
"172","4","0"
"172","53","0"
"174","4","0"
"176","4","0"
"178","4","0"
"178","56","0"
"180","4","0"
"182","4","0"
"182","58","0"
"188","4","0"
"188","61","0"
"194","4","0"
"194","64","0"
"198","4","0"
"267","14","0"
"267","20","0"
"287","17","0"
"287","20","0"
"377","4","0"
"774","4","0"
"775","4","0"
"776","4","0"
"777","4","0"
"778","4","0"
"779","4","0"
"780","4","0"
"782","4","0"
"783","4","0"
"784","4","0"
"785","4","0"
"786","4","0"
"787","4","0"
"789","4","0"
"790","4","0"
"791","4","0"
"792","4","0"
"793","4","0"
"794","4","0"
"795","4","0"
"796","4","0"
"797","4","0"
"798","4","0"
"799","4","0"
"800","4","0"
"801","4","0"
"802","4","0"
"803","1","0"
"803","4","0"
"803","130","0"
"803","150","0"
"803","151","0"
"804","4","0"
"805","4","0"
"806","4","0"
"807","4","0"
"808","4","0"
"809","4","0"
"810","4","0"
"811","4","0"
"812","4","0"
"813","4","0"
"814","4","0"
"815","4","0"
"816","4","0"
"817","4","0"
"818","4","0"
"819","4","0"
"820","4","0"
"821","4","0"
"822","4","0"
"823","4","0"
"824","4","0"
"825","4","0"
"826","4","0"
"827","4","0"
"828","4","0"
"829","4","0"
"830","4","0"
"831","4","0"
"832","4","0"
"833","4","0"
"834","4","0"
"835","4","0"
"836","4","0"
"837","4","0"
"838","4","0"
"839","4","0"
"840","4","0"
"841","4","0"
"842","4","0"
"843","4","0"
"844","4","0"
"845","4","0"
"846","4","0"
"847","4","0"
"848","4","0"
"849","4","0"
"850","4","0"
"851","4","0"
"852","4","0"
"853","4","0"
"854","4","0"
"855","4","0"
"856","4","0"
"857","4","0"
"858","4","0"
"859","4","0"
"860","4","0"
"861","4","0"
"863","4","0"
"864","4","0"
"865","4","0"
"866","4","0"
"867","4","0"
"868","4","0"
"869","4","0"
"870","4","0"
"871","4","0"
"872","4","0"
"873","4","0"
"874","4","0"
"875","4","0"
"876","4","0"
"877","4","0"
"878","4","0"
"879","4","0"
"880","4","0"
"881","4","0"
"882","4","0"
"883","4","0"
"884","4","0"
"885","4","0"
"886","4","0"
"887","1","0"
"887","4","0"
"888","4","0"
"889","4","0"
"890","4","0"
"891","4","0"
"892","4","0"
"893","4","0"
"894","4","0"
"895","4","0"
"896","4","0"
"897","4","0"
"898","4","0"
"899","4","0"
"900","4","0"
"924","4","0"
"955","4","0"
"961","4","0"
"962","4","0"
"963","4","0"
"964","4","0"
"965","4","0"
"966","4","0"
"969","4","0"
"969","71","0"
"999","4","0"
"1006","4","0"
"1007","4","0"
"1008","4","0"
"1020","4","0"
"1021","4","0"
"1022","4","0"
"1026","4","0"
"1027","4","0"
"1031","4","0"
"1033","4","0"
"1034","4","0"
"1045","4","0"
"1048","4","0"
"1059","4","0"
"1060","4","0"
"1061","4","0"
"1062","4","0"
"1063","4","0"
"1064","4","0"
"1069","4","0"
"1070","4","0"
